Subgroup,N,AUC (95% CI),Sensitivity,Specificity,p_value
Age <50,98,0.86 (0.78-0.94),0.82,0.88,0.62
Age ≥50,154,0.88 (0.81-0.95),0.85,0.90,0.62
Male,158,0.87 (0.80-0.94),0.83,0.89,0.71
Female,94,0.86 (0.78-0.94),0.86,0.88,0.71
COPD,89,0.89 (0.82-0.96),0.87,0.91,0.34
ILD,78,0.86 (0.78-0.94),0.83,0.88,0.34
CF,42,0.84 (0.74-0.94),0.81,0.86,0.34
Other etiology,43,0.83 (0.73-0.93),0.80,0.85,0.34
Single LT,67,0.84 (0.76-0.92),0.80,0.87,0.19
Double LT,185,0.88 (0.81-0.95),0.86,0.90,0.19
Non-emergency,201,0.87 (0.81-0.93),0.84,0.89,0.43
HELT,51,0.85 (0.77-0.93),0.83,0.87,0.43
No pre-op ECMO,218,0.87 (0.81-0.93),0.85,0.89,0.51
Pre-op ECMO,34,0.84 (0.74-0.94),0.80,0.87,0.51
No diabetes,198,0.87 (0.81-0.93),0.84,0.89,0.67
Diabetes,54,0.86 (0.78-0.94),0.83,0.88,0.67
CMV match,167,0.87 (0.81-0.93),0.84,0.89,0.72
CMV mismatch,85,0.86 (0.78-0.94),0.83,0.88,0.72
