"fold,outer_fold,inner_fold,auc,accuracy,sensitivity,specificity,f1_score"
"1,1,1,0.85,0.88,0.82,0.89,0.81"
"2,1,2,0.86,0.89,0.83,0.90,0.82"
"3,1,3,0.87,0.90,0.84,0.91,0.83"
"4,2,1,0.88,0.91,0.85,0.92,0.84"
"5,2,2,0.87,0.90,0.84,0.91,0.83"
"6,2,3,0.86,0.89,0.83,0.90,0.82"
"7,3,1,0.86,0.89,0.83,0.90,0.82"
"8,3,2,0.88,0.91,0.85,0.92,0.84"
"9,3,3,0.87,0.90,0.84,0.91,0.83"
"10,4,1,0.84,0.87,0.81,0.88,0.80"
"11,4,2,0.85,0.88,0.82,0.89,0.81"
"12,4,3,0.86,0.89,0.83,0.90,0.82"
"13,5,1,0.89,0.92,0.86,0.93,0.85"
"14,5,2,0.88,0.91,0.85,0.92,0.84"
"15,5,3,0.87,0.90,0.84,0.91,0.83"
